Country,Admissions KPVs,Application Instructions KPVs,Application Submitted KPVs,Impressions,Media Cost
Afghanistan,,,,53,$0.02
Albania,,,,2,$0.01
Algeria,,,,92,$0.06
Argentina,62,25,,2660,$5.92
Armenia,40,25,1,1650,$0.97
Australia,89,40,2,2890,$29.88
Austria,,,,32,$0.12
Azerbaijan,4,2,,141,$0.48
Bahrain,,,,131,$0.40
Bangladesh,,,,869,$0.47
Belarus,1,1,,12,$0.06
Belgium,2,,,39,$0.16
Bermuda,,,,29,$0.14
Bolivia,7,3,,1217,$1.78
Bosnia,,,,3,$0.00
Brazil,20181,10947,,1025840,"$2,867.64"
Brunei Darussalam,3,1,,54,$0.61
Bulgaria,,,,37,$0.02
Cambodia,,,,91,$0.21
Cameroon,,,,16,$0.03
Canada,409,235,17,21966,$211.14
Chile,21,16,,2342,$6.53
China,120,64,3,59736,$62.37
Colombia,4684,2654,,358806,$665.57
Costa Rica,9,3,,157,$0.24
Croatia,,,,16,$0.03
Cyprus,,,,8,$0.04
Czech Republic,,,,13,$0.02
Denmark,,,,46,$0.25
Dominican Republic,1,,,38,$0.08
Ecuador,8,3,,1365,$3.12
Egypt,,,,468,$0.42
Estonia,,,,13,$0.06
Ethiopia,,,,47,$0.10
Finland,,,,19,$0.08
France,1,,,78,$0.23
Gambia,,,,3,$0.00
Georgia,3,1,,615,$1.49
Germany,3,3,,46,$0.32
Ghana,1,,,267,$0.58
Greece,,,,79,$0.17
Guatemala,,,,62,$0.18
Honduras,,,,28,$0.02
Hong Kong,321,165,4,14935,$73.62
Hungary,7,3,,42,$0.11
Iceland,,,,9,$0.12
India,7,4,,3174,$10.29
Indonesia,8,4,,1140,$3.39
Iraq,,,,13,$0.02
Ireland,,,,32,$0.11
Isle of Man,,,,1,$0.00
Israel,23,15,,1140,$5.90
Italy,7,,,462,$1.11
Jamaica,,,,9,$0.03
Japan,77,49,,6971,$44.77
Jordan,,,,14,$0.16
Kazakhastan,18,7,1,146,$0.50
Kenya,2,1,,222,$0.64
Kosovo,,,,22,$0.03
Kuwait,,,,5,$0.00
Latvia,,,,12,$0.03
Lebanon,13,9,,1166,$2.10
Lithuania,,,,17,$0.04
Luxembourg,,,,3,$0.00
Macao,7,5,,728,$2.62
Macedonia,2,,,41,$0.08
Madagascar,,,,2,$0.00
Malawi,,,,6,$0.01
Malaysia,36,18,,1631,$8.28
Malta,,,,5,$0.01
Mauritius,,,,175,$0.24
Mexico,21147,12327,2,938678,"$2,980.55"
Moldova,,,,20,$0.01
Mongolia,,,,37,$0.06
Montenegro,,,,21,$0.06
Morocco,,,,269,$0.27
Mozambique,9,,,36,$0.09
Myanmar,4,3,,424,$0.58
Nepal,2,1,,398,$0.49
Netherlands,1,,,48,$0.40
New Zealand,1,1,,38,$0.21
Nicaragua,,,,2,$0.00
Niger,,,,13,$0.00
Nigeria,13,9,,565,$1.76
Norway,,,,21,$0.10
Oman,,,,3,$0.05
Pakistan,1,1,,641,$0.87
Palestine,,,,32,$0.05
Panama,,,,32,$0.02
Paraguay,2,2,,165,$0.56
Peru,21,8,,2295,$4.45
Philippines,39,22,1,5079,$9.77
Poland,1,,,121,$0.44
Portugal,1,,,212,$0.33
Puerto Rico,,,,72,$0.40
Qatar,,,,37,$0.20
Reunion,,,,4,$0.01
Romania,2,,,47,$0.21
Russia,15,6,,87,$0.22
Rwanda,1,,,81,$0.18
Saudi Arabia,,,,42,$0.36
Senegal,,,,77,$0.02
Serbia,,,,43,$0.04
Seychelles,,,,9,$0.01
Sierra Leone,,,,3,$0.00
Singapore,73,51,8,5272,$29.85
Slovakia,,,,14,$0.06
Slovenia,,,,37,$0.09
South Africa,14,8,,926,$4.08
South Korea,628,307,58,12538,$102.07
Spain,26,12,,305,$0.98
Sri Lanka,8,6,,435,$0.59
Sweden,,,,23,$0.11
Switzerland,1,,,30,$0.17
Taiwan,1106,699,14,96884,$324.96
Tanzania,,,,198,$0.18
Thailand,21,11,1,1602,$3.39
The Bahamas,,,,22,$0.02
Trinidad and Tobago,,,,2,$0.00
Tunisia,,,,168,$0.33
Turkey,14,10,,1474,$2.98
Turkmenistan,,,,2,$0.00
Uganda,,,,42,$0.18
Ukraine,3,,,54,$0.12
United Arab Emirates,,,,120,$0.64
United Kingdom,8,1,,188,$1.20
United States,22294,13687,430,975614,"$10,300.88"
Uruguay,,,,218,$0.67
Uzbekistan,2,,,130,$0.35
Venezuela,13,6,,960,$3.21
Vietnam,6,4,,1356,$3.62
Zambia,,,,109,$0.02
Zimbabwe,,,,30,$0.26